Sample_ID	Nitrogen	Sulfur	Replication
S20	0_Nitrogen	0_Sulfur	1
S35	0_Nitrogen	0_Sulfur	2
S38	0_Nitrogen	0_Sulfur	3
S47	0_Nitrogen	0_Sulfur	4
S10	0_Nitrogen	15_Sulfur	1
S12	0_Nitrogen	15_Sulfur	2
S30	0_Nitrogen	15_Sulfur	3
S44	0_Nitrogen	15_Sulfur	4
S18	0_Nitrogen	25_Sulfur	1
S28	0_Nitrogen	25_Sulfur	2
S33	0_Nitrogen	25_Sulfur	3
S58	0_Nitrogen	25_Sulfur	4
S11	0_Nitrogen	35_Sulfur	2
S15	0_Nitrogen	35_Sulfur	3
S3	0_Nitrogen	35_Sulfur	1
S40	0_Nitrogen	35_Sulfur	4
S17	100_Nitrogen	0_Sulfur	2
S29	100_Nitrogen	0_Sulfur	3
S32	100_Nitrogen	0_Sulfur	4
S9	100_Nitrogen	0_Sulfur	1
S1	100_Nitrogen	15_Sulfur	1
S16	100_Nitrogen	15_Sulfur	2
S56	100_Nitrogen	15_Sulfur	3
S59	100_Nitrogen	15_Sulfur	4
S23	100_Nitrogen	25_Sulfur	1
S25	100_Nitrogen	25_Sulfur	2
S36	100_Nitrogen	25_Sulfur	3
S53	100_Nitrogen	25_Sulfur	4
S39	100_Nitrogen	35_Sulfur	1
S41	100_Nitrogen	35_Sulfur	2
S48	100_Nitrogen	35_Sulfur	3
S62	100_Nitrogen	35_Sulfur	4
S19	150_Nitrogen	0_Sulfur	2
S34	150_Nitrogen	0_Sulfur	3
S64	150_Nitrogen	0_Sulfur	4
S8	150_Nitrogen	0_Sulfur	1
S21	150_Nitrogen	15_Sulfur	1
S27	150_Nitrogen	15_Sulfur	2
S52	150_Nitrogen	15_Sulfur	3
S55	150_Nitrogen	15_Sulfur	4
S14	150_Nitrogen	25_Sulfur	2
S24	150_Nitrogen	25_Sulfur	3
S51	150_Nitrogen	25_Sulfur	4
S6	150_Nitrogen	25_Sulfur	1
S13	150_Nitrogen	35_Sulfur	2
S42	150_Nitrogen	35_Sulfur	3
S57	150_Nitrogen	35_Sulfur	4
S7	150_Nitrogen	35_Sulfur	1
S22	200_Nitrogen	0_Sulfur	2
S26	200_Nitrogen	0_Sulfur	3
S5	200_Nitrogen	0_Sulfur	1
S63	200_Nitrogen	0_Sulfur	4
S31	200_Nitrogen	15_Sulfur	1
S45	200_Nitrogen	15_Sulfur	2
S49	200_Nitrogen	15_Sulfur	3
S54	200_Nitrogen	15_Sulfur	4
S37	200_Nitrogen	25_Sulfur	2
S4	200_Nitrogen	25_Sulfur	1
S46	200_Nitrogen	25_Sulfur	3
S61	200_Nitrogen	25_Sulfur	4
S2	200_Nitrogen	35_Sulfur	1
S43	200_Nitrogen	35_Sulfur	2
S50	200_Nitrogen	35_Sulfur	3
S60	200_Nitrogen	35_Sulfur	4
