response,term,Sum Sq,Df,F value,Pr(>F)
plant_height,rep,41.72505861850436,2,0.6980911600925723,0.5027277008819209
plant_height,n,110.7989621046404,3,1.2358325117427784,0.30754438985239974
plant_height,s,31.323142202374584,3,0.3493729252362336,0.7897607035570113
plant_height,n:s,140.6968857380141,9,0.5231029316315061,0.8501924716259857
no_of_nodes,rep,5.258555133079852,2,0.838502194514374,0.4388580229692133
no_of_nodes,n,1.7781913039553672,3,0.1890275019023697,0.9033368438610969
no_of_nodes,s,11.255054505904468,3,1.1964487916984732,0.32164665843713774
no_of_nodes,n:s,21.329857163212637,9,0.7558109948627614,0.6566635941385643
no_of_pods,rep,435.94930291508354,2,1.1720025189136138,0.3188230552287858
no_of_pods,n,503.8708731265833,3,0.9030682062689074,0.44695672122675245
no_of_pods,s,309.7356815505027,3,0.5551272384919541,0.6473177864151082
no_of_pods,n:s,3148.1000780802697,9,1.8807391882144282,0.0790310922646369
leaf_area,rep,472.77608099255303,2,0.35446815153981526,0.7034458171735094
leaf_area,n,971.6871406596547,3,0.48568749346981965,0.6938867835736546
leaf_area,s,1258.446329450213,3,0.6290210272845971,0.5999850761752519
leaf_area,n:s,6852.061673649336,9,1.141643409049025,0.3541791101441247
pods_dry_weight,rep,1121120.9754340984,2,0.7779199366032182,0.46530898566866224
pods_dry_weight,n,910194.1999394037,3,0.42104181429621806,0.7387750522757852
pods_dry_weight,s,1582209.776164379,3,0.7319058666796756,0.5382910582742078
pods_dry_weight,n:s,11876184.697477702,9,1.8312466915580192,0.08793372946949983
biomass_dry_weight,rep,11.314522306717436,2,0.1851348350339317,0.8316083328515076
biomass_dry_weight,n,148.13867650657016,3,1.6159544753622364,0.19859917931218418
biomass_dry_weight,s,16.84166838740157,3,0.18371548906055754,0.9069299122687879
biomass_dry_weight,n:s,105.16368176865035,9,0.3823888224357656,0.9376373932122706
trifolate_leaf_weight_mg,rep,4351.6335377059295,2,0.2374808087376827,0.789572863702203
trifolate_leaf_weight_mg,n,12800.641838196258,3,0.46571120932804566,0.7076163159730549
trifolate_leaf_weight_mg,s,9816.538754227513,3,0.3571439770313203,0.7841921902678489
trifolate_leaf_weight_mg,n:s,57495.81898171775,9,0.6972683538774607,0.7077968400957029
e,rep,2.8919434224027285e-5,2,4.123935440235683,0.02252309570358292
e,n,2.564421479033012e-5,3,2.437924278223337,0.07650795312262357
e,s,9.749550301613717e-6,3,0.9268626696663913,0.43536742397174233
e,n:s,8.032420967441246e-5,9,2.5453998428811717,0.018342159317081337
a,rep,25.23082993682931,2,1.0734337336958732,0.35023963669524033
a,n,53.95040049407396,3,1.5301961920327054,0.2193108561280894
a,s,37.16847915690323,3,1.0542102514287657,0.37774446765713754
a,n:s,119.23820621488971,9,1.1273184716820055,0.3634760390073146
gsw,rep,0.025392240712805547,2,0.3737223750681305,0.6902381472360408
gsw,n,0.04453792317439431,3,0.43700537282484186,0.727572717164763
gsw,s,0.07706171937710282,3,0.7561283285493506,0.5245055702009567
gsw,n:s,0.7999990443353193,9,2.616525840689006,0.015673785484672173
etr,rep,1185.7248197240588,2,1.5856982358405403,0.21579513624697536
etr,n,3247.6310625882506,3,2.895423266816988,0.045169003205908526
etr,s,733.3946579221192,3,0.6538575088682157,0.5846325473990479
etr,n:s,5255.20255784658,9,1.5617574230346305,0.15548549092317643
fs,rep,13567.85212103388,2,0.8689212867558851,0.42617307269641264
fs,n,174907.21851397818,3,7.467681890903827,3.565680747825439e-4
fs,s,24753.39493899682,3,1.0568487721366637,0.3766267871543645
fs,n:s,84102.11846863438,9,1.196916232523735,0.31995535887785675
fm,rep,5381.110107136425,2,0.09860929686792899,0.9062876649865348
fm,n,529239.554826271,3,6.465573005949427,9.596465925082109e-4
fm,s,158493.00928857434,3,1.9362651811319795,0.13693857017462815
fm,n:s,226905.27866429253,9,0.924012973747377,0.5134227803459677
phi_ps2,rep,0.0029826849019013793,2,1.5861542962278077,0.21570308861419935
phi_ps2,n,0.00816664058421443,3,2.8952777948803905,0.0451765331651175
phi_ps2,s,0.0018441764837105953,3,0.6538065644089437,0.5846637432693408
phi_ps2,n:s,0.013214209279898546,9,1.5615889344979208,0.15553974382857483
ndvi,rep,2.4298784777901893e-4,2,0.595777122565295,0.555330678269789
ndvi,n,6.214052333672754e-4,3,1.0157408426429078,0.3943852073918179
ndvi,s,1.9534850638736924e-4,3,0.31931410588823234,0.8113407349171757
ndvi,n:s,0.001837953446183576,9,1.0014315307305748,0.4525590185790681
chl_m,rep,0.016869502534854253,2,1.517068302136983,0.23012504071751608
chl_m,n,0.028211678992369538,3,1.6913774373196089,0.18197804137588552
chl_m,s,0.008081047829279375,3,0.48448381863555773,0.6947101459539682
chl_m,n:s,0.04864493345926685,9,0.9721380864425124,0.4750910761877022
flv_m,rep,0.004703295310519662,2,0.4022575725780896,0.6711380519551051
flv_m,n,0.002071421354198355,3,0.11810796058422637,0.9490214180334833
flv_m,s,0.01247402389881469,3,0.711241834010187,0.5502758659338995
flv_m,n:s,0.026867510579208997,9,0.5106424266046318,0.8592369329482401
anth_m,rep,3.5408745247148335e-4,2,0.9232617785249381,0.40445592333750563
anth_m,n,3.20850418771711e-4,3,0.557732138784741,0.6456086083149196
anth_m,s,2.5567251944025836e-4,3,0.4444338319450906,0.722384299581645
anth_m,n:s,0.0013582943520501385,9,0.7870379983381748,0.6293942739848992
nfi,rep,0.12336037705956926,2,0.7493437518351578,0.4783580820270847
nfi,n,0.12139137397072997,3,0.4915887893118557,0.6898575415681341
nfi,s,0.12457017773623491,3,0.5044617327791677,0.6811123139001053
nfi,n:s,0.33751295936413683,9,0.4555996076813053,0.8964151860665526
awcd,rep,0.05396031260291512,2,1.9032022942546567,0.16064629347291665
awcd,n,1.344007438452425,3,31.60246135193556,3.046346873697614e-11
awcd,s,0.08349106177125054,3,1.9631759299607536,0.13272262333487309
awcd,n:s,0.13560505639958842,9,1.0628546220273842,0.4074668943789984
sdi,rep,0.0070923010186945135,2,0.15509668782894118,0.8567782952760687
sdi,n,3.0341225095027653,3,44.23410215769762,1.3280469897707052e-13
