response,n,s,n_obs,mean,sd,se
a,0,0,4,33.890001206219154,3.0596940050089003,1.5298470025044502
a,0,15,4,35.63652812255127,4.663530426841872,2.331765213420936
a,0,25,4,37.04676933703006,2.1885732634408446,1.0942866317204223
a,0,35,4,35.02756496344311,5.226886677393071,2.6134433386965354
a,100,0,4,37.147968832518515,0.5612102186189555,0.28060510930947774
a,100,15,4,36.75967005225246,1.4447246028305352,0.7223623014152676
a,100,25,4,35.02231943060411,1.3785680014845632,0.6892840007422816
a,100,35,4,35.9809175614347,4.393603854575245,2.1968019272876225
a,150,0,4,36.661705272176064,6.311082172490206,3.155541086245103
a,150,15,4,33.77933872232903,1.6729283568366577,0.8364641784183289
a,150,25,4,31.388964328891866,4.056448402775099,2.0282242013875496
a,150,35,4,33.801815840308876,4.437063519143498,2.218531759571749
a,200,0,4,35.266704330594315,1.8168516707141766,0.9084258353570883
a,200,15,4,36.58584566022076,2.6373219755838133,1.3186609877919067
a,200,25,4,32.61065761875022,3.278894785549025,1.6394473927745126
a,200,35,4,38.791099466446845,1.4172087917586802,0.7086043958793401
anth_m,0,0,4,0.0475,0.020615528128088305,0.010307764064044152
anth_m,0,15,4,0.05,0.01414213562373095,0.007071067811865475
anth_m,0,25,4,0.0425,0.01707825127659933,0.008539125638299665
anth_m,0,35,4,0.035,0.017320508075688773,0.008660254037844387
anth_m,100,0,4,0.0475,0.005000000000000001,0.0025000000000000005
anth_m,100,15,4,0.037500000000000006,0.018929694486000914,0.009464847243000457
anth_m,100,25,4,0.0475,0.015,0.0075
anth_m,100,35,4,0.05,0.014142135623730954,0.007071067811865477
anth_m,150,0,4,0.04,0.024494897427831782,0.012247448713915891
anth_m,150,15,4,0.0525,0.00957427107756338,0.00478713553878169
anth_m,150,25,4,0.05,0.00816496580927726,0.00408248290463863
anth_m,150,35,4,0.0475,0.005000000000000001,0.0025000000000000005
anth_m,200,0,4,0.0475,0.00957427107756338,0.00478713553878169
anth_m,200,15,4,0.055,0.0057735026918962545,0.0028867513459481273
anth_m,200,25,4,0.0575,0.009574271077563383,0.004787135538781692
anth_m,200,35,4,0.045,0.005773502691896258,0.002886751345948129
ars,0,0,4,7.6,0.14142135623730942,0.07071067811865471
ars,0,15,4,8.05,0.1290994448735801,0.06454972243679005
ars,0,25,4,8.5,0.08164965809277232,0.04082482904638616
ars,0,35,4,8.975,0.09574271077563348,0.04787135538781674
ars,100,0,4,7.8,0.08164965809277268,0.04082482904638634
ars,100,15,4,8.05,0.05773502691896237,0.028867513459481187
ars,100,25,4,8.55,0.05773502691896237,0.028867513459481187
ars,100,35,4,9.1,0.08164965809277232,0.04082482904638616
ars,150,0,4,7.625,0.20615528128088306,0.10307764064044153
ars,150,15,4,8.125,0.09574271077563348,0.04787135538781674
ars,150,25,4,8.525,0.17078251276599268,0.08539125638299634
ars,150,35,4,9.075,0.1707825127659935,0.08539125638299674
ars,200,0,4,7.55,0.12909944487358047,0.06454972243679023
ars,200,15,4,8.05,0.05773502691896237,0.028867513459481187
ars,200,25,4,8.35,0.38729833462074187,0.19364916731037093
ars,200,35,4,8.9,0.2708012801545319,0.13540064007726596
awcd,0,0,4,1.5247000000000002,0.08851926344022526,0.04425963172011263
awcd,0,15,4,1.45025,0.04314606973217064,0.02157303486608532
awcd,0,25,4,1.4923250000000001,0.010006123125366763,0.005003061562683381
awcd,0,35,4,1.424425,0.1508318351675137,0.07541591758375685
awcd,100,0,4,1.7384249999999999,0.018823456111989663,0.009411728055994831
